band_hz,axial,tangential,oblique,total,modal_density
25,0,0,0,0,0.000000
31.5,0,0,0,0,0.000000
40,0,0,0,0,0.000000
50,1,0,0,1,0.020000
63,2,0,0,2,0.031746
80,0,2,0,2,0.025000
100,1,2,1,4,0.040000
125,3,3,1,7,0.056000
160,0,5,5,10,0.062500
200,3,12,8,23,0.115000
250,4,18,22,44,0.176000
