band_hz,axial,tangential,oblique,total,modal_density
25,2,0,0,2,0.080000
31.5,0,0,0,0,0.000000
40,0,1,0,1,0.025000
50,3,0,0,3,0.060000
63,0,4,1,5,0.079365
80,2,5,2,9,0.112500
100,3,7,5,15,0.150000
125,3,15,11,29,0.232000
160,3,23,30,56,0.350000
200,5,34,56,95,0.475000
250,6,56,117,179,0.716000
